ligand,receptor,dist,correspondence,dist,correspondence,diff2,FC,p_val,q_val,enriched_rank
TGFB1,F2RL1,0.009315456230640035,0.3591925,0.008087193292518696,0.26042604,1.5086298451624626e-06,2.73782155578435,0.09799827893461333,0.9999999189135129,129
VEGFA,FGFR1,0.006331439751472848,1.3217453,0.005107883190118288,1.4960335,1.4970906588337947e-06,2.716880545523853,0.0992918927872013,0.9999999189135129,130
SPP1,PLAU,0.005424501618322257,1.5044779,0.0066451588816373985,0.48852703,1.4900041544840105e-06,2.704020144792546,0.10009556440494427,0.9999999189135129,131
LAMA3,ITGA3,0.012579658528103093,0.06078457,0.013785240967046827,0.050383203,1.4534290170895221e-06,2.637644552472469,0.1043581638584512,0.9999999189135129,132
PTPN11,PDGFB,0.010016205126906865,0.48276654,0.011221464662945949,0.08844379,1.4526505492131458e-06,2.6362318095526183,0.10445102187442812,0.9999999189135129,133
DUSP18,ITGA3,0.010244832492983226,0.4356583,0.011443318078706494,0.24084286,1.436367699186444e-06,2.6066821238323894,0.10641419276808195,0.9999999189135129,134
TGFB1,VASN,0.013911552607460777,0.048921235,0.012715504174768626,0.021558626,1.4305318533453511e-06,2.5960913850960377,0.10712762220382144,0.9999999189135129,135
AREG,FGFR1,0.014328290830230106,0.097295344,0.013138190791370092,0.1494086,1.416338102494606e-06,2.570332941325878,0.1088848130383322,0.9999999189135129,136
BDNF,ERBB4,0.014835355853129579,0.04661548,0.0136455405514069,0.11972618,1.4156604522134283e-06,2.5691031595122404,0.10896949447649784,0.9999999189135129,137
ANXA1,LMTK2,0.011667389334206298,0.2540811,0.010484979668817607,0.21068314,1.398092616804596e-06,2.53722151629472,0.11119029580006856,0.9999999189135129,138
MDK,SDC1,0.008092840741667657,0.6605279,0.00691098031058278,0.3810961,1.396794078564131e-06,2.5348649634284515,0.11135641284240738,0.9999999189135129,139
COL6A3,ITGB6,0.007652306548515708,1.7821383,0.008824043525620075,0.59675354,1.3729675435136811e-06,2.4916251975773736,0.11445348233550667,0.9999999189135129,140
SPP1,ITGA3,0.0030539986861997386,3.3563912,0.004217651192446332,1.973311,1.3540871552939774e-06,2.457361568221748,0.11697512228304374,0.9999999189135129,141
BDNF,MET,0.006247157279614811,0.9600348,0.005086992055379375,1.1918839,1.3459833475252597e-06,2.442654992142618,0.11807622438463483,0.9999999189135129,142
TGFB1,SDC1,0.008068323417257436,0.5866576,0.006909743261211952,0.31844094,1.342307977982378e-06,2.4359850286706366,0.11857938656431644,0.9999999189135129,143
THBS1,SDC1,0.011536554790858525,0.1894699,0.010378436602815587,0.24516842,1.341237737475859e-06,2.434042784495886,0.11872634910745605,0.9999999189135129,144
