 	gene_name
CYB5D2	CYB5D2
PSMD11	PSMD11
PML	PML
BUB1B	BUB1B
MZT1	MZT1
PPME1	PPME1
CRTC3	CRTC3
CDCA7	CDCA7
FZD5	FZD5
LYRM4	LYRM4
IL4I1	IL4I1
GOT1	GOT1
NAV1	NAV1
SEMA4B	SEMA4B
YBX3	YBX3
MRTO4	MRTO4
POLR2M	POLR2M
ITGB4	ITGB4
GOSR1	GOSR1
SLC16A6	SLC16A6
IMPDH2	IMPDH2
CRB3	CRB3
EMG1	EMG1
CBX5	CBX5
KLHL23	KLHL23
COX11	COX11
IRF8	IRF8
GPN3	GPN3
CEP290	CEP290
MCM6	MCM6
DBF4	DBF4
LXN	LXN
PHIP	PHIP
MYO19	MYO19
EFNA5	EFNA5
CLINT1	CLINT1
PDRG1	PDRG1
NDUFAF8	NDUFAF8
KLF9	KLF9
CIT	CIT
HSPD1	HSPD1
TTK	TTK
PIR	PIR
CDCP1	CDCP1
KCNJ8	KCNJ8
ECI1	ECI1
KAZN	KAZN
OSGIN1	OSGIN1
UTP6	UTP6
CBFA2T2	CBFA2T2
MTHFD2	MTHFD2
NSD2	NSD2
SMC3	SMC3
TRIM47	TRIM47
AP1S2	AP1S2
FARP1	FARP1
PAK1IP1	PAK1IP1
KIDINS220	KIDINS220
PTTG1IP	PTTG1IP
NHP2	NHP2
ARHGEF35	ARHGEF35
DLEU1	DLEU1
EZH2	EZH2
TIPIN	TIPIN
FARSB	FARSB
SLC25A3	SLC25A3
KRT222	KRT222
HKDC1	HKDC1
SLFN5	SLFN5
STAT3	STAT3
ARRDC3	ARRDC3
PSMG4	PSMG4
CR1L	CR1L
CNDP2	CNDP2
SPC24	SPC24
ERP29	ERP29
CDH6	CDH6
RUVBL1	RUVBL1
TPD52	TPD52
EIF4E3	EIF4E3
CKAP5	CKAP5
LTBP1	LTBP1
SLC48A1	SLC48A1
PAQR5	PAQR5
SLC39A14	SLC39A14
RSL1D1	RSL1D1
DDX54	DDX54
SEC11C	SEC11C
UTP20	UTP20
TOMM5	TOMM5
CRYZ	CRYZ
SLC16A4	SLC16A4
NEDD4L	NEDD4L
PCSK5	PCSK5
PWWP3B	PWWP3B
TGFB1I1	TGFB1I1
PHLDA2	PHLDA2
ST14	ST14
DNAJA4	DNAJA4
MFSD2A	MFSD2A
ADSL	ADSL
PCCA-DT	PCCA-DT
LUCAT1	LUCAT1
KIF18B	KIF18B
NDUFA12	NDUFA12
ATP5F1B	ATP5F1B
C1S	C1S
RAB11FIP1	RAB11FIP1
ADAP2	ADAP2
RAB27B	RAB27B
FAM20C	FAM20C
TLK2	TLK2
NOP16	NOP16
GRB7	GRB7
PARPBP	PARPBP
TMEM265	TMEM265
AGPAT2	AGPAT2
NBN	NBN
SH3KBP1	SH3KBP1
SERINC2	SERINC2
PPP1CB	PPP1CB
KLF10	KLF10
DSEL	DSEL
CDK12	CDK12
DUSP6	DUSP6
CKAP2L	CKAP2L
SSTR1	SSTR1
CDCA8	CDCA8
MUC13	MUC13
NCAPH	NCAPH
COL7A1	COL7A1
MMP15	MMP15
TFRC	TFRC
CSGALNACT1	CSGALNACT1
NIBAN1	NIBAN1
PLEKHO1	PLEKHO1
LMNB1	LMNB1
NEK2	NEK2
COBLL1	COBLL1
LAMC1	LAMC1
LSM4	LSM4
EMP3	EMP3
CEP152	CEP152
FAM3C	FAM3C
GPR160	GPR160
MSRB1	MSRB1
TRIB3	TRIB3
SLC17A3	SLC17A3
ADA	ADA
TRAP1	TRAP1
DHX16	DHX16
ANKLE2	ANKLE2
TRAPPC2L	TRAPPC2L
ESRP1	ESRP1
AKAP1	AKAP1
MYEF2	MYEF2
PAG1	PAG1
MFAP2	MFAP2
TBL1XR1	TBL1XR1
TLCD4	TLCD4
TIMELESS	TIMELESS
PRKAA2	PRKAA2
UBR3	UBR3
SPSB2	SPSB2
MYO5B	MYO5B
IBTK	IBTK
SHCBP1	SHCBP1
HMGB3	HMGB3
DUSP1	DUSP1
TNC	TNC
GTF2A2	GTF2A2
OLFM2	OLFM2
ACTL6A	ACTL6A
PITX1	PITX1
DUXAP8	DUXAP8
ZWILCH	ZWILCH
CDC25B	CDC25B
CHD7	CHD7
PSME1	PSME1
DDR1	DDR1
TRIAP1	TRIAP1
TNIK	TNIK
MCTP1	MCTP1
RSRC2	RSRC2
LRRC59	LRRC59
ATRNL1	ATRNL1
PSME2	PSME2
ZFAS1	ZFAS1
MLEC	MLEC
NAV3	NAV3
GTF3C6	GTF3C6
EDIL3	EDIL3
PARD6B	PARD6B
TCEA3	TCEA3
RAB3B	RAB3B
SDSL	SDSL
UBB	UBB
MSH2	MSH2
RFC2	RFC2
THSD4	THSD4
SNRPN	SNRPN
DEPDC1B	DEPDC1B
PARP14	PARP14
TMOD1	TMOD1
TMEM14A	TMEM14A
GLIPR1	GLIPR1
IGF2BP2	IGF2BP2
PKP4	PKP4
EMP1	EMP1
BLVRB	BLVRB
ACP6	ACP6
